"Save","Save"
"Add New Category","Add New Category"
"Category","Category"
"Category Name","Category Name"
Name,Name
"Status","Status"
Enabled,Enabled
Disabled,Disabled
"Blogs Deleted Successfully","Blogs Deleted Successfully"
"Blogs Approved Successfully","Blogs Approved Successfully"
"Blogs status has been changed successfully","Blogs status has been changed successfully"
"Blogs Pending Successfully","Blogs Pending Successfully"
Blogs,Blogs
"Blog Categories","Blog Categories"
"Categories deleted successfully.","Categories deleted successfully."
"Categories disabled successfully.","Categories disabled successfully."
"Categories enabled successfully.","Categories enabled successfully."
"Category name already exists.","Category name already exists."
"Category saved successfully","Category saved successfully"
"Category saved successfully.","Category saved successfully."
"Comment deleted successfully.","Comment deleted successfully."
"Comment status changed successfully.","Comment status changed successfully."
Comments,Comments
"Bloggers Details","Bloggers Details"
"Status changed successfully.","Status changed successfully."
"Post deleted successfully.","Post deleted successfully."
"Desired action cannot be performed!","Desired action cannot be performed!"
"Edit Post","Edit Post"
"Add New Post","Add New Post"
"Post edited successfully.","Post edited successfully."
"Post saved successfully.","Post saved successfully."
"Post saved successfully.Wait for admin's approval","Post saved successfully.Wait for admin's approval"
"Subject can not be empty","Subject can not be empty"
"Content can not be empty","Content can not be empty"
"Tag can not be empty","Tag can not be empty"
"Meta Description can not be empty","Meta Description can not be empty"
"Meta keywords can not be empty","Meta keywords can not be empty"
Blog,Blog
"Comment saved successfully.","Comment saved successfully."
"Comment saved successfully. Wait for admin's approval.","Comment saved successfully. Wait for admin's approval."
"You are already subscribed for blogs.","You are already subscribed for blogs."
"Thank You for subscribing blogs.","Thank You for subscribing blogs."
"Thank You for subscribing blogs.Wait For Admin's Approval.","Thank You for subscribing blogs.Wait For Admin's Approval."
Approved,Approved
Disapproved,Disapproved
"Is Not Permitted","Is Not Permitted"
"Is Permitted","Is Permitted"
Pending,Pending
Disable,Disable
Enable,Enable
Auto,Auto
Manual,Manual
"View Comments","View Comments"
"View Blogs","View Blogs"
Edit,Edit
Approve,Approve
Reject,Reject
Delete,Delete
"* Required Fields","* Required Fields"
Title,Title
"Meta Keywords","Meta Keywords"
"Preview Description","Preview Description"
"Meta Description","Meta Description"
Content,Content
Tag,Tag
SAVE,SAVE
"YOU ARE NOT SUBSCRIBED TO BLOGS","YOU ARE NOT SUBSCRIBED TO BLOGS"
"Subscribe For Blogs ?","Subscribe For Blogs ?"
"signup for blogs","signup for blogs"
Yes,Yes
"Back","Back"
"do not signup for blogs","do not signup for blogs"
No,No
"Subscribe For Blogs","Subscribe For Blogs"
"View My Posts","View My Posts"
"COMMENTS","COMMENTS"
"Please enter your full name","Please enter your full name"
"Please enter website","Please enter website"
"Add a comment...","Add a comment..."
"Comment","Comment"
"No Post Exist!","No Post Exist!"
"YOU ARE NOT SUBSCRIBE FOR BLOGS","YOU ARE NOT SUBSCRIBE FOR BLOGS"
" Are you sure you want to delete this Post ? "," Are you sure you want to delete this Post ? "
Continue,Continue
Webkul,Webkul
"Webkul Blog","Webkul Blog"
"General Blog Settings","General Blog Settings"
"Set display character limit for content","Set display character limit for content"
"Select comment approval method","Select comment approval method"
"Select blogger approval method","Select blogger approval method"
"Select blog approval method","Select blog approval method"
"Blog Manager Email Settings","Blog Manager Email Settings"
"Blogger Request Template","Blogger Request Template"
"Blogger Approved Template","Blogger Approved Template"
"Comment Approval Template","Comment Approval Template"
"Comment Approval Request Template","Comment Approval Request Template"
"Blogger Disapproved Template","Blogger Disapproved Template"
"Blog Notification Template","Blog Notification Template"
"Blog Approval Template","Blog Approval Template"
"Comment notification Template","Comment notification Template"
"Are you sure you want to approve selected Blog(s)?","Are you sure you want to approve selected Blog(s)?"
"Are you sure you want to pending selected Blog(s)?","Are you sure you want to pending selected Blog(s)?"
"Are you sure you want to delete selected Blog(s)?","Are you sure you want to delete selected Blog(s)?"
Id,Id
"Customer Name","Customer Name"
"Customer Email","Customer Email"
Created,Created
"Is permitted","Is permitted"
Attention!,Attention!
"Are you sure you want to change the status of selected Blogger(s) to Permitted?","Are you sure you want to change the status of selected Blogger(s) to Permitted?"
"Is not permitted","Is not permitted"
"Are you sure you want to change the status of selected Blogger(s) to Not Permitted?","Are you sure you want to change the status of selected Blogger(s) to Not Permitted?"
Telephone,Telephone
Zip,Zip
Country,Country
City,City
"Add New","Add New"
"Are you sure you want to enable the selected categories?","Are you sure you want to enable the selected categories?"
"Are you sure you want to disable the selected categories?","Are you sure you want to disable the selected categories?"
"Are you sure you want to Delete the selected categories?","Are you sure you want to Delete the selected categories?"
"Created At","Created At"
"Are you sure you want to approve selected Comment(s)?","Are you sure you want to approve selected Comment(s)?"
"Are you sure you want to pending selected Comment(s)?","Are you sure you want to pending selected Comment(s)?"
"Are you sure you want to delete selected Comment(s)?","Are you sure you want to delete selected Comment(s)?"
"Manage Blog","Manage Blog"
"Manage Bloggers","Manage Bloggers"
"Manage Categories","Manage Categories"
"Blogs deleted successfully","Blogs deleted successfully"
"Status of the selected blog(s) changed to approved","Status of the selected blog(s) changed to approved"
"Status of the selected blog(s) changed to pending","Status of the selected blog(s) changed to pending"
"Search","Search"
"No post exist by this user","No post exist by this user"
